Index,HIP
0,677
1,746
2,1067
3,2021
4,2081
5,3092
6,3179
7,3419
8,4427
9,5165
10,5447
11,6686
12,7588
13,8886
14,8903
15,9236
16,9640
17,9884
18,10064
19,11767
20,13847
21,14135
22,14328
23,14354
24,14576
25,15863
26,17358
27,17678
28,17702
29,18246
30,18532
31,18543
32,19780
33,21281
34,21421
35,22449
36,23015
37,23416
38,23685
39,23767
40,23875
41,24305
42,24436
43,24608
44,25281
45,25336
46,25428
47,25606
48,25930
49,25985
50,26207
51,26241
52,26311
53,26451
54,26634
55,26727
56,27366
57,27628
58,27989
59,28360
60,28380
61,29655
62,30122
63,30324
64,30343
65,30438
66,31681
67,31685
68,32246
69,32349
70,32362
71,32607
72,32768
73,33579
74,33977
75,34444
76,35264
77,35904
78,36188
79,36377
80,36850
81,37279
82,37826
83,38170
84,39429
85,39757
86,39953
87,41037
88,41704
89,42913
90,43109
91,43813
92,44127
93,44816
94,45238
95,45556
96,45860
97,45941
98,46390
99,46701
100,46853
101,47908
102,48002
103,49669
104,50099
105,50371
106,50583
107,50801
108,51576
109,52419
110,52727
111,52943
112,53910
113,54061
114,54539
115,54872
116,54879
117,56561
118,57632
119,58001
120,59196
121,59316
122,59747
123,59774
124,59803
125,60718
126,60965
127,61084
128,61359
129,61585
130,61932
131,61941
132,62322
133,62434
134,62956
135,63090
136,63125
137,63608
138,64962
139,65109
140,65378
141,65474
142,66249
143,66657
144,67301
145,67927
146,68002
147,68702
148,68895
149,68933
150,69673
151,71075
152,71352
153,71681
154,71683
155,71860
156,71908
157,72105
158,72607
159,72622
160,73273
161,73334
162,73714
163,74785
164,74946
165,75097
166,75141
167,75264
168,75458
169,76267
170,76297
171,77070
172,77952
173,78265
174,78401
175,78820
176,79593
177,79882
178,80112
179,80331
180,80763
181,80816
182,81266
183,81377
184,81693
185,82273
186,82396
187,82514
188,83000
189,83081
190,83895
191,84012
192,84143
193,84345
194,84379
195,84380
196,84970
197,85258
198,85267
199,85670
200,85696
201,85792
202,85927
203,86032
204,86228
205,86670
206,86742
207,87073
208,87261
209,87833
210,88048
211,88635
212,89642
213,89931
214,89962
215,90185
216,90496
217,91262
218,92041
219,92855
220,93194
221,93506
222,93747
223,93864
224,94141
225,94376
226,95501
227,95947
228,97165
229,97278
230,97649
231,99473
232,100345
233,100453
234,100751
235,101772
236,102098
237,102488
238,104732
239,105199
240,106032
241,106278
242,107315
243,107556
244,108085
245,109074
246,109268
247,109492
248,110130
249,112122
250,112158
251,113136
252,113368
253,113881
254,113963
255,116727
